Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D308,WS2812C-2020,BF@WS2812C-2020,77.434354,80.468937,138,top
D309,WS2812C-2020,BF@WS2812C-2020,80.468937,77.434354,132,top
D310,WS2812C-2020,BF@WS2812C-2020,83.169696,74.099195,126,top
D311,WS2812C-2020,BF@WS2812C-2020,85.507041,70.5,120,top
D312,WS2812C-2020,BF@WS2812C-2020,87.455363,66.676202,114,top
D313,WS2812C-2020,BF@WS2812C-2020,88.993317,62.669696,108,top
D314,WS2812C-2020,BF@WS2812C-2020,90.104051,58.524379,102,top
D315,WS2812C-2020,BF@WS2812C-2020,90.775397,54.285666,96,top
D316,WS2812C-2020,BF@WS2812C-2020,91,50,90,top
D317,WS2812C-2020,BF@WS2812C-2020,90.775397,45.714334,84,top
D318,WS2812C-2020,BF@WS2812C-2020,90.104051,41.475621,78,top
D319,WS2812C-2020,BF@WS2812C-2020,88.993317,37.330304,72,top
D320,WS2812C-2020,BF@WS2812C-2020,87.455363,33.323798,66,top
D321,WS2812C-2020,BF@WS2812C-2020,85.507041,29.500001,60,top
D322,WS2812C-2020,BF@WS2812C-2020,83.169696,25.900805,54,top
D323,WS2812C-2020,BF@WS2812C-2020,80.468937,22.565646,48,top
D324,WS2812C-2020,BF@WS2812C-2020,77.434354,19.531063,42,top
D325,WS2812C-2020,BF@WS2812C-2020,74.099195,16.830304,36,top
D326,WS2812C-2020,BF@WS2812C-2020,70.499999,14.492959,30,top
D327,WS2812C-2020,BF@WS2812C-2020,66.676202,12.544637,24,top
D328,WS2812C-2020,BF@WS2812C-2020,62.669696,11.006683,18,top
D329,WS2812C-2020,BF@WS2812C-2020,58.524379,9.895949,12,top
D330,WS2812C-2020,BF@WS2812C-2020,54.285666,9.224603,6,top
D331,WS2812C-2020,BF@WS2812C-2020,50,9,0,top
D332,WS2812C-2020,BF@WS2812C-2020,45.714334,9.224603,354,top
D333,WS2812C-2020,BF@WS2812C-2020,41.475621,9.895949,348,top
D334,WS2812C-2020,BF@WS2812C-2020,37.330304,11.006683,342,top
D335,WS2812C-2020,BF@WS2812C-2020,33.323798,12.544637,336,top
D336,WS2812C-2020,BF@WS2812C-2020,29.5,14.492959,330,top
D337,WS2812C-2020,BF@WS2812C-2020,25.900805,16.830304,324,top
D338,WS2812C-2020,BF@WS2812C-2020,22.565646,19.531063,318,top
D339,WS2812C-2020,BF@WS2812C-2020,19.531063,22.565646,312,top
D340,WS2812C-2020,BF@WS2812C-2020,16.830304,25.900805,306,top
D341,WS2812C-2020,BF@WS2812C-2020,14.492959,29.5,300,top
D342,WS2812C-2020,BF@WS2812C-2020,12.544637,33.323798,294,top
D343,WS2812C-2020,BF@WS2812C-2020,11.006683,37.330304,288,top
D344,WS2812C-2020,BF@WS2812C-2020,9.895949,41.475621,282,top
D345,WS2812C-2020,BF@WS2812C-2020,9.224603,45.714334,276,top
D346,WS2812C-2020,BF@WS2812C-2020,9,50,270,top
D347,WS2812C-2020,BF@WS2812C-2020,9.224603,54.285666,264,top
D348,WS2812C-2020,BF@WS2812C-2020,9.895949,58.524379,258,top
D349,WS2812C-2020,BF@WS2812C-2020,11.006683,62.669696,252,top
D350,WS2812C-2020,BF@WS2812C-2020,12.544637,66.676202,246,top
D351,WS2812C-2020,BF@WS2812C-2020,14.492959,70.5,240,top
D352,WS2812C-2020,BF@WS2812C-2020,16.830304,74.099195,234,top
D353,WS2812C-2020,BF@WS2812C-2020,19.531063,77.434354,228,top
D354,WS2812C-2020,BF@WS2812C-2020,22.565646,80.468937,222,top
D355,WS2812C-2020,BF@WS2812C-2020,25.900805,83.169696,216,top
D356,WS2812C-2020,BF@WS2812C-2020,29.5,85.507041,210,top
D357,WS2812C-2020,BF@WS2812C-2020,33.323798,87.455363,204,top
D358,WS2812C-2020,BF@WS2812C-2020,37.330304,88.993317,198,top
D359,WS2812C-2020,BF@WS2812C-2020,41.475621,90.104051,192,top
D360,WS2812C-2020,BF@WS2812C-2020,45.714334,90.775397,186,top
D401,WS2812C-2020,BF@WS2812C-2020,50,87,180,top
D402,WS2812C-2020,BF@WS2812C-2020,53.867553,86.79731,174,top
D403,WS2812C-2020,BF@WS2812C-2020,57.692732,86.191461,168,top
D404,WS2812C-2020,BF@WS2812C-2020,61.433628,85.189091,162,top
D405,WS2812C-2020,BF@WS2812C-2020,65.049255,83.801181,156,top
D406,WS2812C-2020,BF@WS2812C-2020,68.499999,82.042939,150,top
D407,WS2812C-2020,BF@WS2812C-2020,71.748054,79.933628,144,top
D408,WS2812C-2020,BF@WS2812C-2020,74.757832,77.496358,138,top
D409,WS2812C-2020,BF@WS2812C-2020,77.496358,74.757832,132,top
D410,WS2812C-2020,BF@WS2812C-2020,79.933628,71.748054,126,top
D411,WS2812C-2020,BF@WS2812C-2020,82.042939,68.5,120,top
D412,WS2812C-2020,BF@WS2812C-2020,83.801181,65.049255,114,top
D413,WS2812C-2020,BF@WS2812C-2020,85.189091,61.433628,108,top
D414,WS2812C-2020,BF@WS2812C-2020,86.191461,57.692732,102,top
